
This is a live sample of trace from HI-406BT - http://localhost:50000/console/output  with "Level" box checked.

View	Row	Time	Level	Description
	57	06:29:45	*	$GPRMC,062950.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*62
	58	06:29:45	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	59	06:29:45	*	$GPGGA,062951.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*62
	60	06:29:46	*	$GPGSA,A,3,32,13,20,16,30,,,,,,,,6.2,2.0,5.9*3D
	61	06:29:46	*	$GPGSV,3,1,12,20,67,194,27,23,56,333,17,16,54,112,27,32,49,154,28*72
	62	06:29:46	*	$GPGSV,3,2,12,30,44,062,25,13,33,306,30,07,19,243,18,31,14,048,16*70
	63	06:29:46	*	$GPGSV,3,3,12,01,09,205,07,04,09,304,15,03,05,134,,06,03,120,*7A
	64	06:29:46	*	$GPRMC,062951.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*63
	65	06:29:46	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	66	06:29:46	*	$GPGGA,062952.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*61
	67	06:29:47	*	$GPRMC,062952.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*60
	68	06:29:47	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	69	06:29:47	*	$GPGGA,062953.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*60
	70	06:29:48	*	$GPRMC,062953.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*61
	71	06:29:48	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	72	06:29:48	*	$GPGGA,062954.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*67
	73	06:29:49	*	$GPRMC,062954.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*66
	74	06:29:49	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	75	06:29:49	*	$GPGGA,062955.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*66
	76	06:29:50	*	$GPRMC,062955.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*67
	77	06:29:50	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
